Review,Label
التطبيق مصيدة لترقية الاشتراك و سحب النقود .. عند استعراض الاشتراكات المتاحة لمعرفة الخطط يتم الترقية مباشرة و دون تأكيد من التطبيق او من البنك برسالة و بالرجوع لخدمة العملاء لالغاء الترقية الخاطئة و الرجوع للخطة السابقة يفيد بانه تم من جانبك و لا يمكن ارجاع المبالغ المسحوبة كأنها دخلت خزانة الدولة مثلا .. لا يوجد تفهم و لا مراعاة لعميل من ٥ سنوات و يستخدموا ذريعة تم من جانبك مع ان العيب فى التطبيق البدائى الخاص بهم,
Fair,
Who are here to watch cristiano Ronaldo,
Not working! Uninstalled amd reinstalled but Still when opennong it closed dir3ctly I have a 1 year subscription I connected with support they said device not supported but it was working befor the last bad update,
fix the new update,
U1 .... ....aaBLzz .nvabw q a,
after new update .aplication not woking very bad serviec,
ابليكيش ممتاز 👍,
"Replying to developer cpmment: What's subscription minial price has to do with my comment?! Anyway, I managed to solve the issue, but won't tell you how! Thanks for nothing.",
No NO NO,
ليششش بطل يفتح 😡😡😡,
why we cant change the language on tv!,
My device not working and no body from customer services help me for ur information before 4jan my deivice is working and i call customer services without any solution and i send emil without responce,
Good,
The best out of the best,
تطبيق جيد,
Too many ads and boring,
حلو,
I love it,
After more than 3 yrs by using my machine the my machine not compatible with Shahid and I have more than 6 months in account,
"App stop working on my TV after force update, and the technical support not reply to email 😡😡😡😡.",
"I am facing the same issue some customers are facing. As an app developer you are not supposed to change the application requirements from one version to the next. Customers have paid for your service knowing that the application works om their devices and it should remain that way. This is very disappointing and rather unprofessional. For all new users, this app does not work on android TV boxes running normal Android. It only runs on Android ""TV"" version and smart TVs.",
اشيي بخزييي 💖💖🙂,
"It was working fine until last update, they decided to not support some devices, I was watching from this device for a whole year and when I contacted their customer service, the agent lied about it and told me that this device is not supported on shahid yet and tried to convince me to buy another brand of this device, sounds like they are partnering with this brand and trying to convince people buying it, and then he stopped responding when I told him I had been using it for a year!! Shame",
ماشاء الله ربي يحفظك,
Very good,
whats happening. hows IT cant fix the new patch tilll now this is rediculs,
😊👍,
Nice,
Gog,
Very good,
I love shahid. But can you please put english subtitles on more shows!! So many shows i would love to watch but they don't have english subtitles 😭😭😭😭,
Ok,
"The latest version blocked working on my device The was working very well and then after upadting it to the latest version, it's suddenly stopped working and gave me a message that my device doesn't meet the requiremens!!! After using it on the same device for more than 3 year with no issues….And when I contacted the customer care, the simple response is that my device isn't compatable. And the care service doesn’t help….😡😡😡",
Anek vlo,
What a shame that you collect money and you don't activate the account....,
Good,
Hi Dears The last update stopped working on my device You mentioned that the minimum requirement is Android 5 and above My device is Android 7 and now it is now working Please fix,
The last update blocked our device from running the app. It requests new device since my device is outdated as they claimed,
"your last updates made my device stopped working ""doesn't meet the minimum requirements""",
انا عندي smart TV box وعندي اشتراك اصلى سنه وكان ما عنديش مشاكل ولكن بعد الاصدار الاخير اصبح يعطي رساله ان تفيد انه لا يستطيع العمل على هذا الجهاز,
"After the last update of shahid on 4 TV boxes, it is not working but returning the message ""This device specifications do not meet the requirements of the application""... Don't know what to do",
عذاب إذا تبي تلغي اشتراك,
Excellent,
Don't update.after update Shahid stoped working,
كففففووووو,
Thank you,
good,
"Paid for subscription, but it keeps showing otherwise. It looks like a scam",
Without any notification Shahid stop working on my tvbox running android 10. It stopped after updating the app to version higher than 7.24. After contacting customer care they said your device isn't supported without any resolution.,
مبقاش يشتغل بعد اخر تحديث وبيقل غير متوافق مع الجهاز كده مرة واحدة، مع ان النسخه اللي قبليها شغاله عادي سبحان الله!!!!!!,
"I can not watch shahid anymore on my tv box,the application is not runnig any more",
"The application was hardly working on my tv box until some genius decided to update it, making it worthless. Now it's notifying me that my newly purchased android 10 tv box specification do not meet the requirements to use it, knowing that netflix, amazon prime work fine woth their latest updates. Guys, bring professionals on board or you may lose all your subscribers. Update, the customer care ignored me repeatedly and when answered yet suggested to change all my audio-visual appliances. Shame",
ZOZO(2020),
NO LAEKT,
"Very BAD👎. PLEASE GUYS DO NOT UPDATE. If you update Shahid app you will not be able to continue watching on the android box or similar devices anymore!! As usual, They remove the supports of some devices every while with no reasons!",
The new update is not working on TV box,
gigty,
"Verry good when it was working, now it displays my box is not compatible any more. Due to latest upgrade cant watch any more. Can you please update with a fix.",
Great,
Very bad update. Now it is not working any more... Idiot....,
They won't let you cancel your subscription. An actual scam.,
It stopped working after the last update on my box ... it says the device specification don't meet the requirements to use Shahid,
"Can someone please explain why every time you update the app, a new problem shows up? Do you guys not go through QA testing before your launch to live/production? Now there is a google recaptcha issue......unreal!!!!!******UPDATE ******I emailed customer care and they resolved the issue within a day of my email and replied to me. Rating would be at 5 stars but the app forces me to log back in too many times.....otherwise I love it!",
"Very bad company, if you ever think to cancel your subscription, you have to contact the customer service and they will ask your credit card details to make the cancelation, so basically they ask you to reveal information that should be kept private",
stopped after last update .. give me my money back FU,
The latest update is not working with my android tv box. İt worked before update the app How we can solve it,
جيد,
Shahid stopped from my smart andriod tv box but i have id for vip watching,
Very nice,
i have problem after up date not access my tv,
O.m.g🌍,
The new upate is not working it is giving message that the devie dosen't meet the rquired specifications while the perviouse version was wokirng fine and all other apps working well. So please sort out problem it is from you side.,
Very bad you can't cancel the subscription easily,
"the latest updates doesnt work on Android 8 or 9, most of Android TV's and Android Boxes is still with old versions, you need to re check it with your developers !!!!",
Shahid stopped working on my device after the update.,
App crashed after last update on android TV and it said “ur tv does not meet shahid requirements “ it was working fine before,
The new uptodate doesn't have thr turkish language.as audio?? Any help for the turkish series,
The app was working on idea android smart tv after the new update its not working anymore and the response of shahid was its not supported on your tv noting that it was working fine before the update that's a shame as a response,
The app isn't working after the last update!! Customer service is a waste of time!,
shahid (mbc) are forcing us to dump our android tv boxes and buy xiaomi box. i would rather cancel my subscription than do that,
not working in tv box... please repair the app,
Perfect 🥰,
"The latest version blocked working on my device The was working very well and then afer upadting it to the latest version, it's suddenly stopped working and gave me a message that my device doesn't meet the requiremens!!! After using it on the same device for more than 1 year with no issues!!! And when I contacted the customer care, the simple response is that my device isn't compatable!!!",
Bad errors,
"The new shahid update is not working on my Android TV box Version 9 It was working till the latest update that was released and I am getting this message. “the device specification do not meet the requirements to use shahid” when i contacted shahid costumer support, they told me you must upgrade your android device, although on thier website it says compatible with android 7.0 and above. Lack of accuracy, efficiency and transparency",
The download and watch offline is not working - still need to be connected to the internet!,
Stopped working after the update today and my subscription is still running. Need utgent support to fix.,
"The app was working very well on my Android box, but it suddenly stopped working after the last update. It says ""Your device specifications doesn't meet the requirements for shahid"". From reading the recent reviews, it's clear that their is an issue with the recent update that has to be fixed. If this was a planed change to your Shahid app, then a proper message should have been sent to your customers ahead of time to notify them and prepare them for such a change.",
Downloading the content is very difficult and makes you accidentally open the movie do a download press like Netflix away from opening,
When I update program in it does not support my android tv box... Please solve this problem,
"After doing update on doesn't respond It crashes, lags",
"TEVII 500 Android box is not accepting the application after the last update , why ? Can you please support to solve",
the app is not workimg on andriod tv box,
Program stopped working after latest update claiming my device is not supported. Waste of money for a one year subscription.,
Good,
It's very nice❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,
It's soooooo good,
Amazing app Love it,
Perfect,
Not working on my dvice,
Good,
6th century British Columbia pictures,
❤️,
So sweet 🖤❤️,
Siuuuuuuuuu,
"Since 28th of December my account has been suspended for not paying, however I haven't changed my payment details nor my card number. I have tried to reach you many times but it seems the problem from your system renewal process. Therefore it is not logic to suspened my subscription for a system failure from your side.",
J'arive pas a ouvrir l'applecation sur mon tv box android ???????,
Cr7 siuuuuu,
Shahid keep repeating the episode for 5 time when there is advertisement on and on so much you get bored of it.thats why Shahid doesn't deserve not even one star.,
Downloading for Ronaldo,
Nice,
V.good app,
Not working stopped working,
I will only download for Ronaldo,
It's not good because there is some films and video we have to pay to watch and I open to watch it's closed we have to pay.,
The device specification doesnt meet the required to use s hahid ... After todays update on android 9. Receiver please fix it as it was working perfectly.,
Customer service is a waste of time! Horrible!,
is not working,
Good,
Ronaldo Siiiiiuuuuu please telecast Al Nassr Games for Free Millions of Fans waiting,
Fabulous,
i subscribed recently but unfortionatly the app after the latest update stopped working due to version issues and my device version android 9 i will not resubscribe again if the problem exist in future,
Crashing alot 😡😡😡😡😡😡,
Very bad experience Very bad customer service,
"I downloaded only for Saudi Arabian Football Club, and only to see one player the king of football Cristiano Ronaldo❤️",
I downloaded this app for watching Ronaldo's match viva ronaldoo,
the new update is no longer supported on my device and i cannot use the app,
The app is not working since the last update,
Very bad app,
Zef,
Not very good some seasons doesn't have all episodes plus the most of its films must subscribe it first,
