Review,Predicted Label
Iam really happy.. I was facing an issue in this application since monday and i mailed through help and feedback section.. They asked for screenshots and cleared that issue nicely.. Thankyou so much,Application-Worst
"Doesn't operate well, no response to click ...",Application-Nice
Some.time it's stop working automatically,Application-Worst
Awesome user friendly App,Application-Nice
Nice to entertainment,Application-Nice
Excellent ❤️,Application-Nice
After 30th January....Sony LIV content is not updated in this app... Edited on 2nd Feb....Issue Resolved on 2 Feb ... Thanks,Channels-Quality
Nice 👍,Application-Nice
Best app,Application-Nice
Nice airtel xstream app,Application-Nice
Excellebt,Application-Nice
ಸೂಪರ್ ಹ್ಯಾಪ್,Application-Nice
Very good application for live TV of AirTel,Application-Nice
Hope it works some day. When you can't update the content why you offer the service. Hopeless service,Customer care-Poor Responsiveness
Good,Application-Nice
One of the best quality ✨,Channels-Quality
Does not update episods!,Channels-Quality
Nice,Application-Nice
Not getting latest 2 shark tank episodes but we get all episodes free on Sony live except the latest episode.,Channels-Quality
"Sometimes, it shows errors while streaming movies",Channels-Quality
Sony liv episode not updated and no customer care help very bad experience,Application-Worst
Shark tank season 2 episodes are not updated on Sony Liv in Airtel Xstream but on Sony Liv standalone they are already updated......,Channels-Quality
There are so many issues while watching shows on it . First new episode are uploaded but I am not able to watch them Second quality of content..,Channels-Quality
Sonyliv episodes are not updating since 3 days,Channels-Quality
Shows not update,Application-Worst
Very bad,Application-Nice
First give the list of free streaming apps and what apps we can install. Whats d ram capacity u r providing in that box and for break through streeming.,Channels-Quality
Why shark tank india season 2 is not publishing latest videos... Very much disappointment,Customer care-Query Resolution
Shark tank india episodes not refreshing up on the app. Have sent a mail through help and feedback section.,Channels-Quality
It was good in start but now.. it is not updating new episodes... Of OTT,Channels-Quality
Doesn't update new episodes.,Channels-Quality
🙏🌹🙏,Application-Nice
Why is shark Tank season episodes not in sync with Sony? Episodes are getting delayed.,Channels-Quality
Good app,Application-Nice
Boht vdia application,Application-Nice
New episodes are not updated on the app.,Channels-Quality
Superb,Application-Nice
Good,Application-Nice
Awesome 👍,Application-Nice
Nice,Application-Nice
Tv shows not updated ...specially in Sony Liv,Channels-Quality
Unable to see the Shark tank new episode please fix it.,Application-Worst
Episodes are not updated.. I have subscription for sonyliv till March 15 but not finding recent episides,Channels-Quality
Great web series collections...,Application-Nice
This week Shark Tank S2 episodes is not live yet. Right from Episode 21 and above. Same thing happens for other Sony Shows. This leads to over all bad experience,Application-Worst
Shark tank indias latest episodes are not showing on this app,Channels-Quality
I have subscribed but some movies/shows are not available in the package but separate subscription shows that movie like agnithee 2 on shemaroo.me,Channels-Quality
Good App.,Application-Nice
Plan purchase page not working. And today my plan is over. Airtel is going poor day by day. Be it Broadband or app.,Application-Worst
Super,Application-Nice
I got the subscription of Sony LIV from recharge and activated it in Airtel xtream app but now no new episode is showing up in it....also my pack is still running please resolve my problem.,Channels-Quality
💗💗💗💗💗,Application-Nice
This app was great but not showing the latest episodes of sony sab shows,Application-Worst
No updates on shows it simply worst,Application-Worst
Star plus ku nahi hai airtel par,Application-Nice
Sales exexutive munipulated by givim hoststar offer,Application-Nice
"Using this app is like using an illegal website or App which doesn't show contents properly. Following are the problems I faced while using this app. 1. Low quality of the contents even on 5G where speed is atleast 10mbps. 2. No timely updation of daily TV SHOWS e.g., SHARK TANK INDIA 2 episodes are not updated after episode No 20. 3. No download option in all the contents. 4. Many more if use it further.",Channels-Quality
Amszing app,Application-Nice
Very nice app 👍,Application-Nice
Worth the money.,Application-Nice
Very nice and helpful to have my phone with,Application-Nice
Episodes of Shark tank India will come only after 24 hours after releasing in sonyliv. After 24 hours anyone can watch on sonyliv for free.. what is the point of paying xstream?,Channels-Quality
Best,Application-Nice
Not worth it,Application-Worst
Excellent,Application-Nice
Good 😊,Application-Nice
best,Application-Nice
Why there is no t showing new episodes after 20 on Shark tank india and master chef india 😤,Channels-Channel Navigation
It's too discounting,Application-Nice
Nice,Application-Nice
Video quality settings can be optimized and please upload new episodes of Shark Tank India season 2,Channels-Quality
Good,Application-Nice
Very good.,Application-Nice
Good,Application-Nice
Video buffers too much even with exellent internet connectivity... Plus No New episode gets added after telecasted on tv...,Channels-Quality
Good,Application-Nice
"Good app features, but lack features while playing video like volume up or down without using volume button.",Application-Nice
Good,Application-Nice
Good,Application-Nice
Not working properly half of the episodes are not there only,Channels-Quality
Very nice,Application-Nice
"Worst app. latest episodes are not uploaded timely in xstream app. Many times contacted through email. They don't have any solution. I paid for one year, Suggestion to others buy only original ott subscription instead airtel Xstream app.",Customer care-Poor Responsiveness
Why the shows aren't updating on the app?? Saturday's shows are last updated,Channels-Quality
I have the Airtel Xtreme fiber (999/month pack) but they are still asking to buy it.,Customer care-Poor Responsiveness
Good,Application-Nice
Best app,Application-Nice
Many shows episode is not available like Shark tank india,Channels-Quality
"Some of the episodes is not available, on the other hand its a good aap",Channels-Quality
Best experience and also dada consume also best thanku so much Airtel xstream app,Application-Nice
sonyliv episodes again stops coming. Since 2 days it's not being available in Xtreme app. Really not worth to have premium subscription.,Channels-Quality
New episodes of shows especially from Sony liv are not available almost after 72hrs of telecasting.,Channels-Quality
Good content,Application-Nice
Awesome,Application-Nice
Why new episodes of shark tank are not added after the 20th episode?,Channels-Quality
